Experiment,Dimensionality,Problem Size,Views,Constraints,Variant,Component,Time (microseconds)
2,2,1000000,1,3,Experiment2,Conversion,8091
2,2,1000000,1,3,Experiment2,Cost Estimation,1195
2,2,1000000,1,3,Experiment2,ISL Space,7806
2,2,1000000,1,3,Experiment2,ISL Func,2688
2,2,1000000,1,3,Experiment2,ISL Solve,12842
2,2,1000000,1,3,BaseRAJA,Computation,762706
2,2,1000000,1,3,Experiment2,Computation,761158
2,2,1000000,1,3,Experiment2,Conversion,13091
2,2,1000000,1,3,Experiment2,Cost Estimation,1559
2,2,1000000,1,3,Experiment2,ISL Space,11545
2,2,1000000,1,3,Experiment2,ISL Func,3989
2,2,1000000,1,3,Experiment2,ISL Solve,1412
